Name,Type,Status,Location,Tags,Relationships,Background Story,Image,Race,Role,Notes,Appearance,Class,Faction
Queen Lysara,NPC,Alive,Eldenhold,,,"Queen Lysara is the unshakable ruler of Valeris, a woman of poise and ruthless pragmatism. With piercing emerald eyes and golden hair woven with silver, she radiates both wisdom and quiet authority. Her rule is not just defined by lineage but by sheer force of will—she has kept Valeris strong through war, diplomacy, and cold calculation. Though she presents herself as the kingdom’s benevolent protector, she knows that power must be maintained through careful manipulation, strategic alliances, and, when necessary, force. She relies on Captain Darian Veldrin to safeguard her reign but remains wary of the power he wields within the Iron Guard. Chamberlain Auron ensures the court remains functional, though she is well aware that his careful management of noble factions also serves his own interests. Selene Varro, her Master of Whispers, is indispensable, yet Lysara never forgets that spies have their own ambitions. She keeps a close eye on Elyssa Dorne, the noblewoman whose growing influence in Valeris, under the guise of philanthropy, could shift the balance of power if left unchecked. Queen Lysara plays the long game, ensuring that while others maneuver for influence, she always remains one step ahead.",Untitled/Queen_Lysara.webp,"Human, Female",Queen of Valeris,"A pragmatic ruler, skilled in politics and strategy, balancing power through manipulation and force.",,,
Captain Darian Veldrin,NPC,Alive,Eldenhold,,,"Captain Darian Veldrin is the sword and shield of Valeris, a hardened soldier turned commander of the Iron Guard. He is not a man of flowery words or courtly games—his authority comes from experience, discipline, and a reputation for never backing down. With close-cropped black hair, a battle-worn face, and a towering presence, he ensures that the palace remains untouchable and that the Queen’s enemies do not live long enough to become threats. Darian’s loyalty is to Valeris first and to the Queen second, though he would never admit it. He despises the political scheming of the nobility and holds a particular disdain for Chamberlain Auron, seeing him as a man who plays games with lives while Darian sheds blood to protect the kingdom. His uneasy relationship with Selene Varro, the Master of Whispers, is one of necessity rather than trust—her intelligence is useful, but he considers her work dishonorable. He barely tolerates Malrik Dunholm, the prison warden whose cruelty he sees as excessive, but he recognizes the necessity of maintaining order. He has crossed paths with Kaela Voss more than once, the bounty hunter operating outside the law but often cleaning up the messes that politics create. Though he follows orders without question, there are whispers in the court that should the Queen ever falter, it would not be an outside enemy that challenges her rule, but the man who commands her guard.",Untitled/Captain_Darian_Veldrin.jpg,"Human, Male",Captain of the Iron Guard,"A pragmatic ruler, skilled in politics and strategy, balancing power through manipulation and force.",,,
Chamberlain Auron,NPC,Alive,Eldenhold,,,"Chamberlain Auron is the silent architect of Valeris’ stability, a man whose power lies not in steel but in secrets. With silver hair always impeccably combed and sharp gray eyes that betray no emotion, he manages the kingdom’s bureaucracy with cold efficiency. He ensures the Queen’s decrees are enacted, the nobility remains in line, and that political dissent never reaches the point of crisis. Though publicly loyal to Queen Lysara, Auron serves Valeris itself, making decisions that sometimes circumvent royal authority for what he deems the greater good. His quiet influence frustrates Captain Darian Veldrin, who sees him as a man who manipulates lives without understanding the cost of blood. He maintains a professional yet cautious relationship with Selene Varro, knowing that the Master of Whispers sees more than she lets on. His true rivalry lies with Magister Halvar Greythorn, as both men see themselves as Valeris’ guiding hand, though they wield power through very different means. Elyssa Dorne has caught his attention as well—while her public works seem noble, Auron suspects she is playing a much deeper game, and he intends to find out exactly what it is before she gains too much influence.",Untitled/Chamberlain_Auron.webp,"Human, Male",Chief Administrator,"The kingdom’s silent power behind the throne, ensuring stability through calculated control.",,,
Selene Varro,NPC,Alive,Eldenhold,,,"Selene Varro is a shadow in the court, a woman whose power is whispered, never spoken. Her dark auburn hair is always hidden beneath a deep hood, and her pale blue-gray eyes hold the weight of too many secrets. As the Queen’s Master of Whispers, Selene controls an extensive network of spies, informants, and infiltrators, ensuring that nothing happens in Valeris without her knowledge. She speaks carefully, never revealing more than necessary, and her true motivations remain shrouded even from those she serves. Queen Lysara relies on her information, but trust is a fragile thing between rulers and spies. Captain Darian Veldrin keeps his distance, viewing her as a necessary evil, while Chamberlain Auron plays the delicate game of appearing cooperative while keeping his own secrets buried deep. Selene has long watched Magister Halvar Greythorn, knowing his rigid devotion to law makes him dangerous to those who operate in the shadows. Though she has no proof, she also suspects Old Man Griggs is more than a simple drunk—his ramblings have been too eerily accurate to be dismissed as mere madness. If there is one truth about Selene, it is that she serves only the balance of power, and she will remove anyone who disrupts it.",Untitled/Selene_Varro.webp,"Human, Female",Master of Whispers,"A feared spymaster who operates in the shadows, ensuring no secret remains hidden.",,,
Royal Archivist Edric Kael,NPC,Alive,Eldenhold,,,"Edric Kael is a quiet scholar who has watched the rise and fall of rulers from the depths of the royal archives. His half-elven heritage has granted him a long life, and his thinning white hair and tired blue eyes carry the weight of centuries of knowledge. He moves through the castle like a ghost, always present but rarely noticed, speaking in careful, measured tones. Unlike Chamberlain Auron, Edric does not seek power—he seeks preservation. He believes that knowledge is the only true constant, and he ensures that Valeris’ history is recorded with absolute truth, regardless of how it might inconvenience those in power. He maintains a strange, unspoken alliance with Selene Varro—her agents bring him whispers of forgotten texts and hidden knowledge, while he provides her with historical context for the power struggles she navigates. He respects Queen Lysara but does not entirely trust her, for all rulers seek to shape history in their own image. His closest intellectual rival is Archmage Vaelios of the Arcane Sanctum, whom he debates with regularly over the ethics of magic and forgotten lore. Though he rarely leaves the archives, he has been seen in conversation with Old Man Griggs, an oddity that has not gone unnoticed.",Untitled/Royal_Archivist_Edric_Kael.webp,"Half-Elf, Male",Royal Scholar,A scholar who values historical truth above political convenience.,,,
Archmage Vaelios,NPC,Alive,Eldenhold,,,"Archmage Vaelios is the unchallenged master of the Arcane Sanctum, a figure of ageless wisdom and barely restrained power. Though centuries old, his silver-white hair remains unblemished by time, and his deep violet eyes gleam with secrets few dare to comprehend. He moves with effortless grace, his indigo robes shifting like liquid starlight, embroidered with constellations that flicker and change. Vaelios detests politics but understands its necessity, begrudgingly engaging with Queen Lysara and Chamberlain Auron when required. He sees Magister Halvar Greythorn as a well-meaning fool, a man too rigid in his understanding of law to see the true complexities of power. His true rivalry lies with Royal Archivist Edric Kael—the two engage in long-winded philosophical debates, often arguing whether history should be remembered as it was or as it was intended to be. Though he dismisses many as beneath his intellect, he keeps a wary eye on Selene Varro, knowing that spies often have ways of uncovering knowledge best left forgotten. Vaelios also avoids Old Man Griggs, feigning disinterest but showing visible discomfort when the so-called ""drunken prophet"" lingers near the sanctum. He suspects Griggs is something unnatural, though he lacks the proof to confirm his suspicions.",Untitled/Archmage_Vaelios.webp,"High Elf, Male",Archmage,"Master of the Arcane Sanctum, wise and powerful with a deep knowledge of magic and politics.",,,
Sanctum Librarian Olara Veswyn,NPC,Alive,Eldenhold,,,"Olara Veswyn is the iron gatekeeper of the Arcane Sanctum’s vast archives, a woman whose presence commands obedience without raising her voice. Her dark brown hair is streaked with silver and always pulled into a severe bun, her keen gray eyes scanning every visitor for intent before granting them access to the tomes under her care. She enforces the sanctum’s rules with unwavering precision, ensuring that forbidden knowledge remains untouched by unworthy hands. Apprentices fear her, scholars respect her, and those who attempt to circumvent her authority often find themselves escorted out by unseen magical forces. Though she serves under Archmage Vaelios, she does not blindly follow him, challenging his decisions when she believes them reckless. She has a cautious but functional relationship with Selene Varro, occasionally granting her limited access to restricted texts in exchange for useful intelligence. She deeply respects Royal Archivist Edric Kael, considering him one of the few individuals who understands the weight of knowledge and its consequences. However, she has grown increasingly wary of Rivak the Hollow, suspecting the enigmatic supplier deals in magical artifacts of dangerous origin. While she holds no personal grudge against Nyx, she has banned the mischievous familiar from the archives, having grown tired of discovering books rearranged by unseen hands.",Untitled/Sanctum_Librarian_Olara_Veswyn.webp,"Human, Female",Librarian,A no-nonsense librarian who maintains order in the Sanctum’s vast archives.,,,
Pip Thistledown,NPC,Alive,Eldenhold,,,"Pip Thistledown is a whirlwind of words, energy, and unrelenting enthusiasm, his voice carrying across the bustling market square like a clarion call. Barely reaching the waists of most Valerians, his curly chestnut hair bounces as he dashes between stalls, waving parchment and shouting the latest decrees, rumors, and scandalous gossip. Despite his boisterous nature, Pip is sharper than he seems—he listens as much as he speaks, gathering information that often finds its way into the hands of those willing to pay. He has an uneasy relationship with Market Overseer Gerrold Dunn, who finds him obnoxious but begrudgingly useful when enforcing new laws. Pip, in turn, enjoys needling the gruff orc, exaggerating news just enough to make the overseer’s job harder. He and Renna ""Swiftfingers"" Lorne have a friendly rivalry, often competing to see who can uncover the most valuable secrets. While he feigns innocence, Pip is not above selling information to Selene Varro’s network, though he takes great care to ensure his dealings don’t get him into trouble. Despite his knack for avoiding conflict, he’s been known to cause problems for Sniv the Unlucky, loudly declaring his latest scam to the entire square just to see the goblin scramble.",Untitled/Pip_Thistledown.webp,"Halfling, Male",Town Crier,"A whirlwind of words, delivering gossip and rumors throughout the market.",,,
Gerrold Dunn,NPC,Alive,Eldenhold,,,"Gerrold Dunn looms over the Market District like an immovable force, his thick gray-green skin and scarred arms marking him as a man who has fought his way through life. Dressed in reinforced leather with the sigil of Valeris pinned to his chest, he is both feared and respected, keeping the market running with ruthless efficiency. He has no patience for thieves, frauds, or those who think they can outwit him—though he tolerates some level of underhanded dealings so long as they don’t disrupt order. His greatest frustration is Sniv the Unlucky, who has turned con artistry into an art form and somehow always manages to avoid arrest. Gerrold despises the goblin and would lock him away in Dunholm’s Hold if he ever caught him red-handed. He views Renna ""Swiftfingers"" Lorne with suspicion, knowing she operates within his district but never having enough proof to move against her. His relationship with Pip Thistledown is begrudgingly tolerant; he respects the halfling’s ability to keep the public informed but wishes he would stop making his job more difficult. Though he disdains politics, he occasionally reports suspicious activity to Magister Halvar Greythorn, ensuring that no merchant or noble grows too powerful unchecked.",Untitled/Gerrold_Dunn.webp,"Orc, Male",Market Overseer,"A tough orc who ensures the market runs smoothly, keeping order and discipline.",,,
"Renna ""Swiftfingers"" Lorne",NPC,Alive,Eldenhold,,,"Renna Lorne moves through the Market District like a shadow, her sleek black fur blending into the crowded streets as she slips between merchants and guards alike. With piercing golden eyes and an ever-present smirk, she carries herself with effortless confidence, always one step ahead of those who seek to catch her. While officially, she’s nothing more than a trader of ""acquired goods,"" those in the know recognize her as the Market District’s most elusive pickpocket and informant. She has a complicated relationship with Market Overseer Gerrold Dunn—he knows she’s a criminal, but she keeps her dealings just subtle enough to avoid his wrath. She considers Pip Thistledown an amusing distraction, often making bets with him over who can uncover the juiciest piece of gossip. Though she and Sniv the Unlucky operate in similar circles, she views him as a reckless fool, more likely to get caught than make a proper profit. She sells information to both the highest bidder and those she deems worthy, occasionally assisting Selene Varro’s network when the price is right. While she rarely trusts anyone, she holds a deep-seated respect for Durnik ""The Scar"" Vale, knowing that even in a city full of deception, some men keep their word.",Untitled/Renna_Swiftfingers_Lorne.webp,"Tabaxi, Female",Informant,"A sly tabaxi pickpocket and informant, always slipping between the cracks.",,,
